"A Ashish Reddy","YS Chahal","1","1"
"ST Jayasuriya","DNT Zoysa","6","1"
"NV Ojha","Sandeep Sharma","2","1"
"AJ Finch","B Lee","2","1"
"JD Ryder","IK Pathan","0","13"
"MC Henriques","IK Pathan","1","2"
"KC Sangakkara","RP Singh","0","8"
"N Rana","SP Narine","0","1"
"NV Ojha","P Negi","6","1"
"NV Ojha","JP Faulkner","0","10"
"DA Warner","A Nehra","0","2"
"SR Watson","WA Mota","0","1"
"CH Gayle","AD Mascarenhas","1","1"
"SM Katich","A Nehra","0","1"
"V Shankar","SL Malinga","2","1"
"GJ Maxwell","CH Morris","0","1"
"JP Duminy","MS Gony","0","1"
"AM Rahane","KV Sharma","4","4"
"UBT Chand","R Bhatia","2","1"
"DA Miller","STR Binny","4","2"
"AB Dinda","KA Pollard","1","1"
"MF Maharoof","RP Singh","1","1"
"MS Gony","PP Chawla","6","1"
"F du Plessis","P Awana","4","2"
"RV Uthappa","A Symonds","0","2"
"KK Cooper","JP Faulkner","4","1"
"CJ Anderson","M Morkel","4","1"
"GJ Maxwell","SP Narine","0","15"
"MK Pandey","DW Steyn","0","12"
"STR Binny","BW Hilfenhaus","2","1"
"YK Pathan","SJ Srivastava","2","2"
"SR Tendulkar","AL Menaria","4","1"
"RA Jadeja","L Balaji","4","1"
"SL Malinga","AD Mathews","1","1"
"WP Saha","B Kumar","0","12"
"MC Henriques","DP Nannes","6","1"
"MA Agarwal","A Mishra","0","4"
"S Badrinath","SK Trivedi","3","1"
"ML Hayden","DR Smith","0","2"
"G Gambhir","TM Head","1","2"
"GJ Maxwell","NLTC Perera","1","1"
"KH Pandya","Basil Thampi","0","3"
"SR Watson","PJ Cummins","4","1"
"M Muralitharan","Pankaj Singh","3","1"
"HM Amla","DS Kulkarni","1","5"
"Yuvraj Singh","B Lee","2","2"
"RA Jadeja","S Kaul","0","1"
"SA Yadav","KW Richardson","1","2"
"KC Sangakkara","R Bhatia","1","8"
"AB de Villiers","DJ Hussey","0","5"
"V Kohli","Kamran Khan","6","1"
"RS Bopara","AM Salvi","0","1"
"SR Tendulkar","I Sharma","0","37"
"AT Rayudu","P Sahu","0","1"
"KH Pandya","Washington Sundar","0","5"
"RA Tripathi","YS Chahal","4","2"
"LR Shukla","RA Jadeja","0","5"
"AD Mathews","B Lee","4","1"
"KC Sangakkara","SE Bond","0","1"
"LPC Silva","AM Nayar","0","2"
"EJG Morgan","S Sreesanth","6","1"
"CJ Anderson","Mohammed Siraj","6","1"
"SJ Srivastava","R McLaren","1","1"
"J Suchith","B Kumar","0","1"
"PC Valthaty","S Randiv","2","1"
"R Dravid","Iqbal Abdulla","1","4"
"AJ Finch","PP Chawla","1","9"
"G Gambhir","FH Edwards","4","1"
"B Akhil","WPUJC Vaas","4","2"
"DJ Bravo","JA Morkel","1","3"
"JC Buttler","MC Henriques","4","1"
"STR Binny","Z Khan","1","6"
"AD Mathews","P Kumar","6","1"
"HH Pandya","A Zampa","1","4"
"JJ Bumrah","SN Thakur","1","2"
"MS Bisla","DP Nannes","0","14"
"R Ashwin","SL Malinga","0","2"
"HH Pandya","P Kumar","4","1"
"SK Raina","BJ Hodge","0","3"
"SM Pollock","PP Ojha","1","4"
"SR Tendulkar","AD Mathews","1","8"
"JD Ryder","J Botha","2","2"
"PD Collingwood","KA Pollard","0","2"
"AD Mathews","KK Cooper","2","1"
"JC Buttler","Washington Sundar","1","1"
"KP Pietersen","AA Chavan","4","1"
"M Morkel","SJ Srivastava","2","1"
"RG Sharma","A Nehra","2","5"
"SR Tendulkar","AM Salvi","4","2"
"RV Uthappa","S Kaul","4","2"
"MS Dhoni","P Negi","0","9"
"B Chipli","YK Pathan","6","1"
"SE Marsh","MM Sharma","0","4"
"MK Tiwary","RS Bopara","2","3"
"GJ Maxwell","KV Sharma","4","2"
"RA Jadeja","AG Murtaza","6","2"
"SE Marsh","R Dhawan","2","1"
"P Kumar","IK Pathan","0","3"
"WP Saha","TG Southee","4","3"
"JP Duminy","JP Faulkner","2","4"
"Mohammad Ashraful","AM Salvi","1","2"
"G Gambhir","RR Powar","1","1"
"CJ Anderson","JP Faulkner","0","8"
"RA Jadeja","AD Russell","6","1"
"OA Shah","KP Appanna","1","2"
"RV Uthappa","BA Bhatt","2","1"
"Harbhajan Singh","RA Jadeja","6","1"
"MK Pandey","KH Pandya","2","3"
"UBT Chand","JO Holder","0","1"
"LA Pomersbach","MF Maharoof","4","2"
"RA Tripathi","S Aravind","6","2"
"M Manhas","R Dhawan","0","1"
"CJ Anderson","AR Patel","4","3"
"UT Khawaja","A Mishra","0","5"
"Harbhajan Singh","FH Edwards","0","1"
"DJ Hussey","P Kumar","4","1"
"Karanveer Singh","CH Morris","1","1"
"DJG Sammy","KV Sharma","0","2"
"EJG Morgan","MM Sharma","2","2"
"F du Plessis","CH Morris","1","4"
"JH Kallis","KP Appanna","1","2"
"Shahid Afridi","YK Pathan","6","1"
"YK Pathan","JD Ryder","1","1"
"PA Patel","M Morkel","0","10"
"B Lee","HV Patel","6","1"
"AA Jhunjhunwala","KA Pollard","0","2"
"BB McCullum","AR Patel","1","15"
"AB de Villiers","DW Steyn","6","5"
"SV Samson","J Suchith","6","1"
"A Symonds","BJ Hodge","1","1"
"HH Gibbs","A Mishra","0","7"
"RV Uthappa","A Kumble","1","1"
"RG Sharma","B Akhil","1","4"
"SB Styris","YK Pathan","6","1"
"CA Pujara","S Kaul","4","1"
"PA Patel","Shahid Afridi","1","4"
"V Kohli","SP Narine","2","4"
"NV Ojha","S Dhawan","0","2"
"A Ashish Reddy","JP Duminy","1","1"
"Q de Kock","BB Sran","0","5"
"DB Das","DJ Bravo","4","1"
"CL White","RP Singh","0","3"
"CM Gautam","M Morkel","0","5"
"AT Rayudu","Imran Tahir","1","9"
"MC Henriques","JJ Bumrah","4","1"
"R Bhatia","P Awana","6","2"
"AB de Villiers","JJ Bumrah","2","4"
"RE van der Merwe","RP Singh","1","4"
"B Chipli","DL Vettori","2","1"
"MS Dhoni","Sohail Tanvir","6","1"
"MA Agarwal","R Dhawan","4","1"
"RG Sharma","A Nehra","1","15"
"KP Pietersen","P Awana","1","2"
"P Kumar","MP Stoinis","4","1"
"J Botha","Harbhajan Singh","6","1"
"TM Dilshan","JH Kallis","1","2"
"DJ Hooda","S Kaushik","4","1"
"AC Gilchrist","L Balaji","2","1"
"AB de Villiers","RA Jadeja","0","25"
"Y Venugopal Rao","MF Maharoof","6","2"
"RV Uthappa","S Dhawan","4","1"
"LRPL Taylor","M Kartik","4","3"
"DR Smith","BW Hilfenhaus","2","1"
"YK Pathan","P Parameswaran","0","1"
"RJ Harris","R Ashwin","0","1"
"SP Narine","SL Malinga","4","1"
"KK Nair","GS Sandhu","4","2"
"KAJ Roach","Z Khan","0","3"
"SC Ganguly","R Ashwin","4","1"
"KD Karthik","I Sharma","0","9"
"Sohail Tanvir","A Nehra","0","1"
"PA Patel","CH Gayle","0","1"
"SE Marsh","HH Pandya","4","3"
"AD Mathews","B Lee","2","1"
"SS Tiwary","YS Chahal","1","3"
"SR Tendulkar","AB Dinda","0","25"
"AC Gilchrist","AM Nayar","1","1"
"KL Rahul","AB Dinda","2","4"
"CL White","LR Shukla","6","1"
"GJ Maxwell","C de Grandhomme","2","2"
"GC Smith","RR Powar","1","4"
"SR Watson","AD Russell","4","4"
"Yuvraj Singh","JP Faulkner","6","2"
"KM Jadhav","S Nadeem","0","2"
"SPD Smith","DW Steyn","2","4"
"KV Sharma","R Bhatia","1","2"
"DE Bollinger","A Mishra","0","4"
"DB Das","KK Cooper","0","2"
"SC Ganguly","RR Raje","0","2"
"MK Tiwary","MN Samuels","4","1"
"SE Marsh","DP Vijaykumar","6","1"
"MD Mishra","RA Jadeja","1","6"
"KS Williamson","Kuldeep Yadav","1","4"
"S Dhawan","VS Malik","4","3"
"P Dogra","A Kumble","0","1"
"CR Brathwaite","UT Yadav","6","1"
"JP Faulkner","MK Tiwary","2","1"
"DJ Bravo","MC Henriques","0","6"
"SR Tendulkar","B Lee","4","3"
"DR Smith","HV Patel","1","3"
"SC Ganguly","SJ Srivastava","0","2"
"BJ Hodge","KV Sharma","1","6"
"AJ Finch","MR Marsh","2","1"
"SE Marsh","R Dhawan","0","5"
"DA Warner","TP Sudhindra","0","4"
"ST Jayasuriya","A Flintoff","4","1"
"V Kohli","FH Edwards","4","4"
"DT Christian","IK Pathan","1","7"
"JP Duminy","M Manhas","0","3"
"Azhar Mahmood","CH Morris","2","1"
"BCJ Cutting","Sandeep Sharma","0","2"
"NV Ojha","Harmeet Singh","4","2"
"KD Karthik","BJ Hodge","1","3"
"DPMD Jayawardene","S Tyagi","1","1"
"FY Fazal","IK Pathan","0","1"
"BJ Hodge","SR Watson","0","1"
"DA Warner","A Kumble","2","1"
"SE Marsh","S Tyagi","1","2"
"MS Dhoni","LR Shukla","2","5"
"M Vijay","JD Unadkat","1","2"
"AC Gilchrist","SMSM Senanayake","0","8"
"KD Karthik","R Vinay Kumar","2","4"
"AD Mathews","MJ McClenaghan","1","2"
"LMP Simmons","B Kumar","2","1"
"RE van der Merwe","C Nanda","1","2"
"KC Sangakkara","MR Marsh","0","11"
"SW Billings","BA Stokes","1","1"
"R Dravid","YK Pathan","2","3"
"MK Pandey","TL Suman","2","3"
"MN Samuels","DL Vettori","2","1"
"AD Mathews","AD Mascarenhas","0","2"
"YK Pathan","JD Unadkat","6","1"
"SS Tiwary","AB Dinda","4","1"
"V Kohli","R Vinay Kumar","4","4"
"B Kumar","M de Lange","4","2"
"MA Agarwal","STR Binny","6","1"
"MA Agarwal","AR Patel","1","13"
"KM Jadhav","Iqbal Abdulla","2","1"
"HH Gibbs","S Narwal","1","1"
"SK Warne","AB Dinda","1","1"
"KP Pietersen","MG Johnson","0","1"
"SR Tendulkar","SC Ganguly","1","1"
"ST Jayasuriya","Sohail Tanvir","1","6"
"RA Jadeja","HV Patel","2","1"
"P Negi","Washington Sundar","1","2"
"Harbhajan Singh","I Sharma","1","2"
"CL White","SC Ganguly","6","3"
"SR Watson","VY Mahesh","6","4"
"R Bhatia","SK Trivedi","1","1"
"KL Rahul","NLTC Perera","6","1"
"EJG Morgan","GJ Maxwell","4","1"
"WP Saha","MA Starc","0","5"
"SA Yadav","AD Mathews","1","2"
"J Botha","AM Salvi","1","4"
"SN Khan","SR Watson","1","3"
"CK Kapugedera","SR Watson","1","3"
"S Badrinath","DR Smith","2","1"
"SP Fleming","AB Dinda","1","3"
"BA Stokes","A Mishra","1","2"
"CJ Ferguson","R Bhatia","0","4"
"AJ Finch","YK Pathan","1","1"
"KK Cooper","NLTC Perera","2","1"
"V Kohli","JD Ryder","4","2"
"GJ Maxwell","HV Patel","4","2"
"Vishnu Vinod","AR Patel","0","1"
"SR Watson","MM Sharma","3","1"
"LRPL Taylor","JH Kallis","0","9"
"BB McCullum","A Mithun","4","1"
"NV Ojha","DS Kulkarni","0","5"
"V Sehwag","Harbhajan Singh","2","4"
"R Ashwin","DS Kulkarni","0","4"
"Iqbal Abdulla","P Kumar","2","1"
"AM Rahane","JO Holder","2","1"
"TM Head","AS Rajpoot","1","6"
"A Mishra","M Morkel","2","2"
"DJ Bravo","DJ Hooda","1","4"
"CH Gayle","AD Russell","6","4"
"JH Kallis","R Ashwin","2","4"
"V Shankar","JP Faulkner","4","1"
"MJ Guptill","DR Smith","4","1"
"KD Karthik","RR Raje","1","5"
"DA Warner","CJ Jordan","4","2"
"M Vijay","B Lee","4","2"
"PA Patel","D Salunkhe","2","1"
"Mandeep Singh","MM Patel","0","2"
"CH Gayle","AS Rajpoot","1","1"
"SS Tiwary","MJ McClenaghan","1","4"
"JH Kallis","HV Patel","1","4"
"MF Maharoof","SK Trivedi","0","5"
"Mohammad Hafeez","M Ntini","0","3"
"M Manhas","AM Nayar","0","2"
"CM Gautam","S Nadeem","1","1"
"JDP Oram","B Akhil","0","2"
"EJG Morgan","R Shukla","2","1"
"BB McCullum","KP Appanna","0","4"
"SK Raina","AM Nayar","6","1"
"AB de Villiers","SJ Srivastava","4","1"
"BB McCullum","S Sriram","0","2"
"G Gambhir","VR Aaron","0","18"
