,index,batsman,bowler,P0,P1,P2,P3,P4,P6,bowler_cluster,batsman_cluster
138,5863,J Botha,SP Narine,0.75,0.25,0,0,0,0,5.0,9.0
139,5862,J Botha,SL Malinga,0.333333333333333,0.222222222222222,0.222222222222222,0,0.222222222222222,0,6.0,9.0
140,5822,J Botha,CK Langeveldt,0.4,0.4,0,0,0.2,0,0.0,9.0
141,5809,J Botha,AB Dinda,0,0.666666666666667,0,0,0.333333333333333,0,5.0,9.0
142,5850,J Botha,R Sathish,0.5,0.25,0.25,0,0,0,0.0,9.0
143,5831,J Botha,JE Taylor,1,0,0,0,0,0,0.0,9.0
144,5861,J Botha,Shakib Al Hasan,0.5,0.5,0,0,0,0,3.0,9.0
145,5823,J Botha,DE Bollinger,0.666666666666667,0.333333333333333,0,0,0,0,2.0,9.0
146,5849,J Botha,R Bhatia,1,0,0,0,0,0,5.0,9.0
147,5821,J Botha,BE Hendricks,1,0,0,0,0,0,0.0,9.0
148,5838,J Botha,M Morkel,0.545454545454545,0.363636363636364,0.0909090909090909,0,0,0,5.0,9.0
149,5853,J Botha,R Vinay Kumar,0,0.5,0,0,0.5,0,6.0,9.0
150,5806,J Botha,A Mishra,0.333333333333333,0.5,0.1,0.0333333333333333,0.0333333333333333,0,1.0,9.0
151,5845,J Botha,NLTC Perera,1,0,0,0,0,0,2.0,9.0
152,5851,J Botha,R Sharma,0.5,0,0.5,0,0,0,2.0,9.0
153,5824,J Botha,DJ Bravo,0.428571428571429,0.428571428571429,0.142857142857143,0,0,0,1.0,9.0
154,5836,J Botha,LR Shukla,0.4,0.2,0.2,0,0.2,0,4.0,9.0
155,5829,J Botha,I Sharma,0.5,0.3,0.1,0,0.1,0,5.0,9.0
156,5840,J Botha,MC Henriques,0,1,0,0,0,0,2.0,9.0
157,5835,J Botha,L Balaji,0.333333333333333,0.5,0,0,0.166666666666667,0,5.0,9.0
158,5828,J Botha,Harbhajan Singh,0.454545454545455,0.272727272727273,0.181818181818182,0,0,0.0909090909090909,1.0,9.0
159,5825,J Botha,DP Nannes,1,0,0,0,0,0,2.0,9.0
160,5867,J Botha,V Pratap Singh,0,1,0,0,0,0,4.0,9.0
161,5855,J Botha,RE van der Merwe,0,0.625,0.125,0,0.25,0,4.0,9.0
162,5860,J Botha,SB Jakati,0.25,0.5,0.25,0,0,0,3.0,9.0
163,5807,J Botha,AA Kazi,0.428571428571429,0.428571428571429,0,0,0.142857142857143,0,,9.0
164,5858,J Botha,S Nadeem,0.25,0.5,0.125,0,0.125,0,3.0,9.0
165,5817,J Botha,Azhar Mahmood,0.2,0.4,0,0,0.4,0,2.0,9.0
166,5869,J Botha,Yuvraj Singh,0.5,0,0.25,0,0.25,0,2.0,9.0
167,5820,J Botha,BA Bhatt,0.5,0.5,0,0,0,0,4.0,9.0
168,5813,J Botha,AM Salvi,0.25,0.5,0.125,0,0.125,0,0.0,9.0
169,5847,J Botha,PP Ojha,0.0769230769230769,0.384615384615385,0.230769230769231,0,0.230769230769231,0.0769230769230769,5.0,9.0
170,5843,J Botha,MM Sharma,0.75,0.25,0,0,0,0,5.0,9.0
171,5811,J Botha,AD Mathews,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,2.0,9.0
172,5837,J Botha,M Kartik,0,1,0,0,0,0,3.0,9.0
173,5830,J Botha,IK Pathan,0,1,0,0,0,0,6.0,9.0
