player_name,runs_scored,balls_faced,times_out,batting_average,strike_rate
RR Raje,20,18,1,20.0,111.11
RR Rossouw,53,51,5,10.6,103.92
RR Sarwan,73,75,4,18.25,97.33
RS Bopara,531,453,18,29.5,117.22
RS Gavaskar,2,8,1,2.0,25.0
RT Ponting,91,128,9,10.11,71.09
RV Gomez,50,51,5,10.0,98.04
RV Uthappa,4129,3135,144,28.67,131.71
Rashid Khan,70,40,7,10.0,175.0
S Anirudha,136,113,8,17.0,120.35
S Aravind,59,57,4,14.75,103.51
S Badree,13,23,5,2.6,56.52
S Badrinath,1441,1212,47,30.66,118.89
S Chanderpaul,25,31,3,8.33,80.65
S Dhawan,4058,3285,122,33.26,123.53
S Gopal,64,72,5,12.8,88.89
S Kaul,12,27,3,4.0,44.44
S Kaushik,0,1,1,0.0,0.0
S Ladda,0,9,1,0.0,0.0
S Nadeem,32,78,12,2.67,41.03
S Narwal,37,27,3,12.33,137.04
S Rana,91,81,4,22.75,112.35
S Randiv,2,4,1,2.0,50.0
S Sohal,368,292,20,18.4,126.03
S Sreesanth,34,55,4,8.5,61.82
S Sriram,31,36,2,15.5,86.11
S Tyagi,3,4,1,3.0,75.0
S Vidyut,145,109,8,18.13,133.03
SA Abbott,15,13,2,7.5,115.38
SA Asnodkar,423,339,20,21.15,124.78
SA Yadav,1120,849,42,26.67,131.92
SB Bangar,49,58,7,7.0,84.48
SB Jakati,28,29,1,28.0,96.55
SB Joshi,6,14,2,3.0,42.86
SB Styris,131,133,7,18.71,98.5
SB Wagh,2,3,2,1.0,66.67
SC Ganguly,1349,1263,53,25.45,106.81
SD Chitnis,99,89,7,14.14,111.24
SE Bond,1,2,1,1.0,50.0
SE Marsh,2477,1866,62,39.95,132.74
SJ Srivastava,5,5,1,5.0,100.0
SK Raina,4985,3601,145,34.38,138.43
SK Trivedi,42,59,7,6.0,71.19
SK Warne,198,214,20,9.9,92.52
SL Malinga,88,99,16,5.5,88.89
SM Katich,241,186,10,24.1,129.57
SM Pollock,147,111,8,18.38,132.43
SMSM Senanayake,10,17,1,10.0,58.82
SN Khan,228,143,11,20.73,159.44
SN Thakur,22,14,3,7.33,157.14
SP Fleming,196,165,9,21.78,118.79
SP Goswami,293,291,18,16.28,100.69
SP Jackson,38,31,2,19.0,122.58
SP Narine,628,372,36,17.44,168.82
SPD Smith,1703,1293,46,37.02,131.71
SR Tendulkar,2334,1948,67,34.84,119.82
SR Watson,3177,2250,98,32.42,141.2
SS Iyer,1218,938,40,30.45,129.85
SS Shaikh,6,7,1,6.0,85.71
SS Tiwary,1276,1067,45,28.36,119.59
ST Jayasuriya,768,532,28,27.43,144.36
STR Binny,810,643,43,18.84,125.97
SV Samson,1867,1466,70,26.67,127.35
SW Billings,334,246,18,18.56,135.77
SW Tait,23,26,3,7.67,88.46
Sachin Baby,137,101,8,17.13,135.64
Salman Butt,193,161,7,27.57,119.88
Sandeep Sharma,26,39,3,8.67,66.67
Shahid Afridi,81,46,8,10.13,176.09
Shakib Al Hasan,737,579,34,21.68,127.29
Shivam Mavi,13,15,3,4.33,86.67
Shivam Sharma,5,3,1,5.0,166.67
Shoaib Ahmed,1,6,2,0.5,16.67
Shoaib Akhtar,2,7,1,2.0,28.57
Shoaib Malik,52,47,4,13.0,110.64
Shubman Gill,203,139,6,33.83,146.04
Sohail Tanvir,36,29,3,12.0,124.14
Sunny Gupta,0,1,1,0.0,0.0
Sunny Singh,43,31,4,10.75,138.71
Swapnil Singh,12,20,3,4.0,60.0
T Henderson,11,16,2,5.5,68.75
T Kohli,11,19,3,3.67,57.89
T Taibu,31,26,3,10.33,119.23
T Thushara,12,18,2,6.0,66.67
TA Boult,5,10,1,5.0,50.0
TD Paine,10,26,2,5.0,38.46
TG Southee,106,81,8,13.25,130.86
TK Curran,23,28,3,7.67,82.14
TL Suman,676,575,32,21.13,117.57
TM Dilshan,1153,1007,43,26.81,114.5
TM Head,205,148,7,29.29,138.51
TM Srivastava,8,11,1,8.0,72.73
TR Birt,75,58,5,15.0,129.31
TS Mills,8,11,3,2.67,72.73
UA Birla,7,14,1,7.0,50.0
UBT Chand,300,300,20,15.0,100.0
UT Khawaja,127,100,6,21.17,127.0
UT Yadav,97,101,11,8.82,96.04
Umar Gul,39,19,3,13.0,205.26
V Kohli,4948,3784,129,38.36,130.76
V Pratap Singh,0,1,1,0.0,0.0
V Sehwag,2728,1755,99,27.56,155.44
V Shankar,313,223,6,52.17,140.36
VH Zol,29,26,2,14.5,111.54
VR Aaron,46,55,4,11.5,83.64
VRV Singh,4,3,2,2.0,133.33
VS Malik,7,7,1,7.0,100.0
VS Yeligati,2,2,1,2.0,100.0
VVS Laxman,282,267,18,15.67,105.62
VY Mahesh,15,27,2,7.5,55.56
Vishnu Vinod,19,26,3,6.33,73.08
W Jaffer,130,121,8,16.25,107.44
WA Mota,56,75,6,9.33,74.67
WD Parnell,63,75,9,7.0,84.0
WP Saha,1679,1293,69,24.33,129.85
WPUJC Vaas,81,73,8,10.13,110.96
Washington Sundar,74,50,4,18.5,148.0
X Thalaivan Sargunam,10,17,1,10.0,58.82
Y Gnaneswara Rao,19,17,1,19.0,111.76
Y Nagar,285,259,14,20.36,110.04
Y Venugopal Rao,985,836,44,22.39,117.82
YK Pathan,3164,2196,107,29.57,144.08
YS Chahal,15,32,3,5.0,46.88
YV Takawale,192,178,8,24.0,107.87
Yashpal Singh,47,66,4,11.75,71.21
Younis Khan,3,7,1,3.0,42.86
Yuvraj Singh,2652,2045,107,24.79,129.68
Z Khan,117,141,14,8.36,82.98
