"","batsman","bowler","no_of_times","no_of_balls","p_out","p_not_out"
"243","AD Mascarenhas","R Bhatia",2,7,0.285714285714286,0.714285714285714
"244","AD Mascarenhas","V Sehwag",1,6,0.166666666666667,0.833333333333333
"245","AD Mascarenhas","YA Abdulla",1,2,0.5,0.5
"246","AD Mathews","A Kumble",1,5,0.2,0.8
"247","AD Mathews","A Mishra",1,17,0.0588235294117647,0.941176470588235
"248","AD Mathews","AD Russell",1,9,0.111111111111111,0.888888888888889
"249","AD Mathews","DJ Bravo",1,4,0.25,0.75
"250","AD Mathews","Harmeet Singh",1,1,1,0
"251","AD Mathews","HH Pandya",1,4,0.25,0.75
"252","AD Mathews","IK Pathan",1,14,0.0714285714285714,0.928571428571429
"253","AD Mathews","Jaskaran Singh",1,12,0.0833333333333333,0.916666666666667
"254","AD Mathews","JM Kemp",1,5,0.2,0.8
"255","AD Mathews","JP Faulkner",1,21,0.0476190476190476,0.952380952380952
"256","AD Mathews","KP Appanna",1,4,0.25,0.75
"257","AD Mathews","M de Lange",1,2,0.5,0.5
"258","AD Mathews","M Muralitharan",1,30,0.0333333333333333,0.966666666666667
"259","AD Mathews","MJ McClenaghan",1,9,0.111111111111111,0.888888888888889
"260","AD Mathews","P Awana",1,4,0.25,0.75
"261","AD Mathews","PP Ojha",1,11,0.0909090909090909,0.909090909090909
"262","AD Mathews","R Vinay Kumar",3,11,0.272727272727273,0.727272727272727
"263","AD Mathews","SP Narine",1,14,0.0714285714285714,0.928571428571429
"264","AD Mathews","SR Watson",1,14,0.0714285714285714,0.928571428571429
"265","AD Mathews","STR Binny",1,11,0.0909090909090909,0.909090909090909
"266","AD Mathews","UT Yadav",2,23,0.0869565217391304,0.91304347826087
"267","AD Mathews","VR Aaron",1,1,1,0
"268","AD Nath","B Kumar",1,1,1,0
"269","AD Nath","MJ McClenaghan",1,1,1,0
"270","AD Nath","YS Chahal",1,3,0.333333333333333,0.666666666666667
"271","AD Russell","A Mishra",1,8,0.125,0.875
"272","AD Russell","AR Patel",1,17,0.0588235294117647,0.941176470588235
"273","AD Russell","Bipul Sharma",1,7,0.142857142857143,0.857142857142857
"274","AD Russell","CH Morris",1,1,1,0
"275","AD Russell","Imran Tahir",1,4,0.25,0.75
"276","AD Russell","KK Cooper",1,2,0.5,0.5
"277","AD Russell","MG Johnson",1,9,0.111111111111111,0.888888888888889
"278","AD Russell","MJ McClenaghan",1,2,0.5,0.5
"279","AD Russell","MM Sharma",1,10,0.1,0.9
"280","AD Russell","Mustafizur Rahman",1,2,0.5,0.5
"281","AD Russell","NLTC Perera",1,15,0.0666666666666667,0.933333333333333
"282","AD Russell","P Parameswaran",1,3,0.333333333333333,0.666666666666667
"283","AD Russell","R Ashwin",1,2,0.5,0.5
"284","AD Russell","RS Bopara",1,4,0.25,0.75
"285","AD Russell","SL Malinga",1,2,0.5,0.5
"286","AD Russell","SP Narine",1,7,0.142857142857143,0.857142857142857
"287","AD Russell","SR Watson",1,17,0.0588235294117647,0.941176470588235
"288","AD Russell","TG Southee",1,12,0.0833333333333333,0.916666666666667
"289","AD Russell","YS Chahal",1,25,0.04,0.96
"290","AG Murtaza","CH Gayle",1,3,0.333333333333333,0.666666666666667
"291","AG Paunikar","AB Dinda",1,5,0.2,0.8
"292","AG Paunikar","DW Steyn",1,9,0.111111111111111,0.888888888888889
"293","AG Paunikar","Iqbal Abdulla",1,4,0.25,0.75
"294","AG Paunikar","R Vinay Kumar",1,1,1,0
"295","AG Paunikar","Shakib Al Hasan",1,3,0.333333333333333,0.666666666666667
"296","AJ Finch","B Kumar",1,10,0.1,0.9
"297","AJ Finch","BCJ Cutting",1,5,0.2,0.8
"298","AJ Finch","DS Kulkarni",1,10,0.1,0.9
"299","AJ Finch","DW Steyn",1,9,0.111111111111111,0.888888888888889
"300","AJ Finch","Harbhajan Singh",1,24,0.0416666666666667,0.958333333333333
"301","AJ Finch","Harmeet Singh",1,10,0.1,0.9
"302","AJ Finch","IK Pathan",1,18,0.0555555555555556,0.944444444444444
"303","AJ Finch","Iqbal Abdulla",1,8,0.125,0.875
"304","AJ Finch","JH Kallis",2,11,0.181818181818182,0.818181818181818
"305","AJ Finch","JP Faulkner",1,27,0.037037037037037,0.962962962962963
"306","AJ Finch","KK Cooper",1,21,0.0476190476190476,0.952380952380952
"307","AJ Finch","L Balaji",2,10,0.2,0.8
"308","AJ Finch","M Ashwin",1,9,0.111111111111111,0.888888888888889
"309","AJ Finch","M Morkel",1,23,0.0434782608695652,0.956521739130435
"310","AJ Finch","M Muralitharan",1,5,0.2,0.8
"311","AJ Finch","MA Starc",1,6,0.166666666666667,0.833333333333333
"312","AJ Finch","MC Henriques",1,20,0.05,0.95
"313","AJ Finch","MG Johnson",3,37,0.0810810810810811,0.918918918918919
"314","AJ Finch","MM Sharma",2,9,0.222222222222222,0.777777777777778
"315","AJ Finch","MS Gony",1,9,0.111111111111111,0.888888888888889
"316","AJ Finch","NLTC Perera",1,1,1,0
"317","AJ Finch","P Sahu",1,7,0.142857142857143,0.857142857142857
"318","AJ Finch","PP Chawla",1,17,0.0588235294117647,0.941176470588235
"319","AJ Finch","R Bhatia",1,14,0.0714285714285714,0.928571428571429
"320","AJ Finch","R Rampaul",1,1,1,0
"321","AJ Finch","R Shukla",1,1,1,0
"322","AJ Finch","R Vinay Kumar",1,7,0.142857142857143,0.857142857142857
"323","AJ Finch","RA Jadeja",1,22,0.0454545454545455,0.954545454545455
"324","AJ Finch","S Kaul",1,9,0.111111111111111,0.888888888888889
"325","AJ Finch","S Nadeem",1,30,0.0333333333333333,0.966666666666667
"326","AJ Finch","Sachin Baby",1,3,0.333333333333333,0.666666666666667
"327","AJ Finch","SE Bond",1,2,0.5,0.5
"328","AJ Finch","Shivam Sharma",1,7,0.142857142857143,0.857142857142857
"329","AJ Finch","SL Malinga",1,19,0.0526315789473684,0.947368421052632
"330","AJ Finch","SW Tait",1,7,0.142857142857143,0.857142857142857
"331","AJ Finch","UT Yadav",1,20,0.05,0.95
"332","AJ Finch","Yuvraj Singh",1,14,0.0714285714285714,0.928571428571429
"333","AJ Finch","Z Khan",1,15,0.0666666666666667,0.933333333333333
"334","AL Menaria","A Mishra",1,12,0.0833333333333333,0.916666666666667
"335","AL Menaria","A Nehra",1,7,0.142857142857143,0.857142857142857
"336","AL Menaria","B Lee",1,5,0.2,0.8
"337","AL Menaria","BA Bhatt",1,1,1,0
"338","AL Menaria","BJ Hodge",1,7,0.142857142857143,0.857142857142857
"339","AL Menaria","CH Gayle",1,2,0.5,0.5
"340","AL Menaria","DE Bollinger",1,4,0.25,0.75
"341","AL Menaria","DS Kulkarni",1,5,0.2,0.8
"342","AL Menaria","IK Pathan",1,5,0.2,0.8
"343","AL Menaria","KA Pollard",1,8,0.125,0.875
"344","AL Menaria","L Balaji",1,2,0.5,0.5
"345","AL Menaria","MJ Clarke",1,2,0.5,0.5
"346","AL Menaria","P Negi",1,4,0.25,0.75
"347","AL Menaria","PP Chawla",2,20,0.1,0.9
"348","AL Menaria","R Ashwin",2,15,0.133333333333333,0.866666666666667
"349","AL Menaria","R Sharma",1,6,0.166666666666667,0.833333333333333
"350","AL Menaria","V Pratap Singh",1,1,1,0
"351","AL Menaria","YK Pathan",1,16,0.0625,0.9375
"352","AM Nayar","A Mishra",1,24,0.0416666666666667,0.958333333333333
"353","AM Nayar","A Nehra",2,7,0.285714285714286,0.714285714285714
"354","AM Nayar","AM Salvi",1,1,1,0
"355","AM Nayar","AN Ahmed",1,4,0.25,0.75
"356","AM Nayar","B Geeves",1,1,1,0
"357","AM Nayar","BJ Hodge",1,9,0.111111111111111,0.888888888888889
"358","AM Nayar","DNT Zoysa",1,7,0.142857142857143,0.857142857142857
"359","AM Nayar","DW Steyn",1,10,0.1,0.9
"360","AM Nayar","FH Edwards",1,1,1,0
"361","AM Nayar","Harbhajan Singh",1,6,0.166666666666667,0.833333333333333
"362","AM Nayar","IK Pathan",2,10,0.2,0.8
"363","AM Nayar","JD Ryder",1,17,0.0588235294117647,0.941176470588235
"364","AM Nayar","JDP Oram",1,1,1,0
"365","AM Nayar","KK Cooper",1,6,0.166666666666667,0.833333333333333
"366","AM Nayar","KP Pietersen",1,4,0.25,0.75
"367","AM Nayar","M Kartik",2,15,0.133333333333333,0.866666666666667
"368","AM Nayar","NLTC Perera",1,2,0.5,0.5
"369","AM Nayar","P Kumar",1,14,0.0714285714285714,0.928571428571429
"370","AM Nayar","PP Chawla",1,16,0.0625,0.9375
"371","AM Nayar","PP Ojha",1,12,0.0833333333333333,0.916666666666667
"372","AM Nayar","RG Sharma",1,3,0.333333333333333,0.666666666666667
"373","AM Nayar","RP Singh",1,7,0.142857142857143,0.857142857142857
"374","AM Nayar","S Aravind",1,3,0.333333333333333,0.666666666666667
"375","AM Nayar","SL Malinga",1,8,0.125,0.875
"376","AM Nayar","Sohail Tanvir",1,2,0.5,0.5
"377","AM Nayar","TG Southee",1,1,1,0
"378","AM Nayar","V Sehwag",1,4,0.25,0.75
"379","AM Rahane","A Mishra",3,72,0.0416666666666667,0.958333333333333
"380","AM Rahane","AB Agarkar",1,33,0.0303030303030303,0.96969696969697
"381","AM Rahane","AD Mathews",1,44,0.0227272727272727,0.977272727272727
"382","AM Rahane","AD Russell",1,19,0.0526315789473684,0.947368421052632
"383","AM Rahane","Anureet Singh",1,11,0.0909090909090909,0.909090909090909
"384","AM Rahane","B Kumar",6,63,0.0952380952380952,0.904761904761905
"385","AM Rahane","D du Preez",1,1,1,0
"386","AM Rahane","DJ Bravo",1,27,0.037037037037037,0.962962962962963
"387","AM Rahane","DS Kulkarni",2,27,0.0740740740740741,0.925925925925926
"388","AM Rahane","DW Steyn",2,32,0.0625,0.9375
"389","AM Rahane","Harbhajan Singh",1,23,0.0434782608695652,0.956521739130435
"390","AM Rahane","HV Patel",1,14,0.0714285714285714,0.928571428571429
"391","AM Rahane","I Sharma",1,33,0.0303030303030303,0.96969696969697
"392","AM Rahane","Imran Tahir",1,22,0.0454545454545455,0.954545454545455
"393","AM Rahane","JA Morkel",1,20,0.05,0.95
