,index,batsman,bowler,no_of_times,no_of_balls,p_out,p_not_out,bowler_cluster,batsman_cluster
196,2363,M Manhas,JR Hopes,1,9,0.111111111111111,0.888888888888889,4.0,3
197,1513,GR Napier,CH Gayle,1,8,0.125,0.875,2.0,0
198,43,A Mukund,SK Trivedi,1,3,0.333333333333333,0.666666666666667,3.0,0
199,44,A Mukund,Sohail Tanvir,1,1,1,0,4.0,0
200,478,AR Patel,NM Coulter-Nile,1,2,0.5,0.5,2.0,3
201,471,AR Patel,B Kumar,1,11,0.0909090909090909,0.909090909090909,6.0,3
202,480,AR Patel,R Ashwin,2,17,0.117647058823529,0.882352941176471,6.0,3
203,481,AR Patel,SP Narine,2,8,0.25,0.75,5.0,3
204,484,AR Patel,TG Southee,1,2,0.5,0.5,2.0,3
205,475,AR Patel,MA Starc,1,5,0.2,0.8,2.0,3
206,485,AR Patel,UT Yadav,1,5,0.2,0.8,6.0,3
207,477,AR Patel,NLTC Perera,1,1,1,0,2.0,3
208,472,AR Patel,DJ Bravo,2,11,0.181818181818182,0.818181818181818,1.0,3
209,482,AR Patel,SR Watson,1,7,0.142857142857143,0.857142857142857,6.0,3
210,476,AR Patel,MJ McClenaghan,1,1,1,0,3.0,3
211,473,AR Patel,Imran Tahir,1,18,0.0555555555555556,0.944444444444444,2.0,3
212,483,AR Patel,TA Boult,1,3,0.333333333333333,0.666666666666667,2.0,3
213,474,AR Patel,J Yadav,1,8,0.125,0.875,0.0,3
214,479,AR Patel,P Kumar,1,8,0.125,0.875,1.0,3
215,602,B Lee,M Muralitharan,1,2,0.5,0.5,3.0,7
216,605,B Lee,SK Trivedi,1,2,0.5,0.5,3.0,7
217,606,B Lee,SL Malinga,1,3,0.333333333333333,0.666666666666667,6.0,7
218,603,B Lee,S Sreesanth,1,3,0.333333333333333,0.666666666666667,2.0,7
219,604,B Lee,SK Raina,1,4,0.25,0.75,2.0,7
220,601,B Lee,KK Cooper,1,4,0.25,0.75,2.0,7
221,607,B Lee,Z Khan,1,4,0.25,0.75,6.0,7
222,727,BMAJ Mendis,KA Pollard,1,1,1,0,3.0,0
223,726,BMAJ Mendis,DJG Sammy,1,3,0.333333333333333,0.666666666666667,4.0,0
224,880,D du Preez,A Singh,1,3,0.333333333333333,0.666666666666667,4.0,0
225,3866,SA Yadav,DR Smith,1,6,0.166666666666667,0.833333333333333,2.0,8
226,3878,SA Yadav,NM Coulter-Nile,1,7,0.142857142857143,0.857142857142857,2.0,8
227,3868,SA Yadav,HV Patel,1,1,1,0,2.0,8
228,3880,SA Yadav,RG More,1,1,1,0,0.0,8
229,3863,SA Yadav,B Kumar,1,13,0.0769230769230769,0.923076923076923,6.0,8
230,3865,SA Yadav,CR Brathwaite,1,8,0.125,0.875,4.0,8
231,3881,SA Yadav,S Aravind,1,2,0.5,0.5,2.0,8
232,3884,SA Yadav,TG Southee,1,5,0.2,0.8,2.0,8
233,3870,SA Yadav,Karanveer Singh,1,6,0.166666666666667,0.833333333333333,4.0,8
234,3877,SA Yadav,NLTC Perera,1,12,0.0833333333333333,0.916666666666667,2.0,8
235,3872,SA Yadav,MC Henriques,1,2,0.5,0.5,2.0,8
236,3883,SA Yadav,SB Jakati,1,5,0.2,0.8,3.0,8
237,3867,SA Yadav,Gurkeerat Singh,1,5,0.2,0.8,0.0,8
238,3875,SA Yadav,MM Sharma,1,6,0.166666666666667,0.833333333333333,5.0,8
239,3871,SA Yadav,M Ashwin,1,13,0.0769230769230769,0.923076923076923,4.0,8
240,3874,SA Yadav,MJ McClenaghan,1,2,0.5,0.5,3.0,8
241,3876,SA Yadav,MN Samuels,1,1,1,0,4.0,8
242,3882,SA Yadav,Sandeep Sharma,1,6,0.166666666666667,0.833333333333333,3.0,8
243,3879,SA Yadav,RA Jadeja,1,22,0.0454545454545455,0.954545454545455,6.0,8
244,3869,SA Yadav,JP Faulkner,1,9,0.111111111111111,0.888888888888889,3.0,8
245,3864,SA Yadav,CH Morris,1,5,0.2,0.8,3.0,8
246,3873,SA Yadav,MG Johnson,1,8,0.125,0.875,3.0,8
247,2984,NM Coulter-Nile,R Ashwin,1,1,1,0,6.0,0
248,2982,NM Coulter-Nile,D Wiese,1,3,0.333333333333333,0.666666666666667,4.0,0
249,2981,NM Coulter-Nile,Azhar Mahmood,1,2,0.5,0.5,2.0,0
250,2983,NM Coulter-Nile,DS Kulkarni,1,4,0.25,0.75,5.0,0
251,343,AL Menaria,KA Pollard,1,8,0.125,0.875,3.0,9
252,336,AL Menaria,B Lee,1,5,0.2,0.8,2.0,9
253,351,AL Menaria,YK Pathan,1,16,0.0625,0.9375,3.0,9
254,348,AL Menaria,R Ashwin,2,15,0.133333333333333,0.866666666666667,6.0,9
255,340,AL Menaria,DE Bollinger,1,4,0.25,0.75,2.0,9
256,345,AL Menaria,MJ Clarke,1,2,0.5,0.5,0.0,9
257,334,AL Menaria,A Mishra,1,12,0.0833333333333333,0.916666666666667,1.0,9
258,349,AL Menaria,R Sharma,1,6,0.166666666666667,0.833333333333333,2.0,9
259,344,AL Menaria,L Balaji,1,2,0.5,0.5,5.0,9
260,339,AL Menaria,CH Gayle,1,2,0.5,0.5,2.0,9
261,350,AL Menaria,V Pratap Singh,1,1,1,0,4.0,9
262,337,AL Menaria,BA Bhatt,1,1,1,0,4.0,9
263,341,AL Menaria,DS Kulkarni,1,5,0.2,0.8,5.0,9
264,335,AL Menaria,A Nehra,1,7,0.142857142857143,0.857142857142857,5.0,9
265,342,AL Menaria,IK Pathan,1,5,0.2,0.8,6.0,9
266,346,AL Menaria,P Negi,1,4,0.25,0.75,2.0,9
267,338,AL Menaria,BJ Hodge,1,7,0.142857142857143,0.857142857142857,4.0,9
268,347,AL Menaria,PP Chawla,2,20,0.1,0.9,1.0,9
269,1613,HV Patel,Shakib Al Hasan,1,8,0.125,0.875,3.0,7
270,1611,HV Patel,JJ Bumrah,1,2,0.5,0.5,3.0,7
271,1610,HV Patel,DAJ Bracewell,1,1,1,0,0.0,7
272,1609,HV Patel,A Nehra,2,2,1,0,5.0,7
273,1614,HV Patel,TA Boult,1,3,0.333333333333333,0.666666666666667,2.0,7
274,1612,HV Patel,MG Johnson,1,2,0.5,0.5,3.0,7
275,2272,LPC Silva,AM Nayar,1,3,0.333333333333333,0.666666666666667,4.0,0
276,2273,LPC Silva,V Kohli,1,2,0.5,0.5,4.0,0
277,2808,Mohammad Hafeez,M Ntini,1,5,0.2,0.8,0.0,0
278,2810,Mohammad Hafeez,P Amarnath,1,11,0.0909090909090909,0.909090909090909,0.0,0
279,2811,Mohammad Hafeez,PP Ojha,1,4,0.25,0.75,5.0,0
280,2812,Mohammad Hafeez,SM Pollock,1,8,0.125,0.875,4.0,0
281,2807,Mohammad Hafeez,IK Pathan,1,7,0.142857142857143,0.857142857142857,6.0,0
282,2813,Mohammad Hafeez,ST Jayasuriya,1,3,0.333333333333333,0.666666666666667,4.0,0
283,2809,Mohammad Hafeez,MM Patel,1,4,0.25,0.75,3.0,0
284,1836,Joginder Sharma,Harbhajan Singh,1,1,1,0,1.0,0
285,1838,Joginder Sharma,RP Singh,1,2,0.5,0.5,5.0,0
286,1837,Joginder Sharma,MM Patel,1,1,1,0,3.0,0
287,1986,KB Arun Karthik,NLTC Perera,1,2,0.5,0.5,2.0,0
288,1984,KB Arun Karthik,Harbhajan Singh,1,5,0.2,0.8,1.0,0
289,1985,KB Arun Karthik,Iqbal Abdulla,1,1,1,0,2.0,0
290,1987,KB Arun Karthik,PP Chawla,1,4,0.25,0.75,1.0,0
291,4848,YK Pathan,KA Pollard,2,24,0.0833333333333333,0.916666666666667,3.0,1
292,4855,YK Pathan,M Muralitharan,1,34,0.0294117647058824,0.970588235294118,3.0,1
293,4831,YK Pathan,B Lee,1,3,0.333333333333333,0.666666666666667,2.0,1
294,4838,YK Pathan,D du Preez,1,4,0.25,0.75,0.0,1
295,4861,YK Pathan,NM Coulter-Nile,1,12,0.0833333333333333,0.916666666666667,2.0,1
296,4876,YK Pathan,SK Trivedi,1,25,0.04,0.96,3.0,1
297,4830,YK Pathan,B Kumar,3,33,0.0909090909090909,0.909090909090909,6.0,1
298,4834,YK Pathan,C Nanda,1,3,0.333333333333333,0.666666666666667,0.0,1
299,4836,YK Pathan,CR Brathwaite,1,2,0.5,0.5,4.0,1
300,4845,YK Pathan,JD Unadkat,1,8,0.125,0.875,3.0,1
301,4866,YK Pathan,R Ashwin,3,34,0.0882352941176471,0.911764705882353,6.0,1
302,4857,YK Pathan,MF Maharoof,2,20,0.1,0.9,4.0,1
303,4873,YK Pathan,S Aravind,1,20,0.05,0.95,2.0,1
304,4875,YK Pathan,SJ Srivastava,1,10,0.1,0.9,4.0,1
305,4832,YK Pathan,BAW Mendis,1,9,0.111111111111111,0.888888888888889,4.0,1
306,4872,YK Pathan,RR Powar,1,4,0.25,0.75,4.0,1
307,4851,YK Pathan,KV Sharma,1,26,0.0384615384615385,0.961538461538462,3.0,1
308,4835,YK Pathan,CK Langeveldt,1,8,0.125,0.875,0.0,1
309,4827,YK Pathan,AB Dinda,1,17,0.0588235294117647,0.941176470588235,5.0,1
310,4868,YK Pathan,R Dhawan,1,11,0.0909090909090909,0.909090909090909,4.0,1
311,4839,YK Pathan,D Kalyankrishna,1,6,0.166666666666667,0.833333333333333,0.0,1
312,4849,YK Pathan,Karanveer Singh,2,10,0.2,0.8,4.0,1
313,4824,YK Pathan,A Kumble,1,8,0.125,0.875,2.0,1
314,4867,YK Pathan,R Bhatia,1,10,0.1,0.9,5.0,1
315,4879,YK Pathan,UT Yadav,2,23,0.0869565217391304,0.91304347826087,6.0,1
316,4833,YK Pathan,BE Hendricks,1,8,0.125,0.875,0.0,1
317,4828,YK Pathan,Ankit Sharma,1,10,0.1,0.9,4.0,1
318,4854,YK Pathan,M Morkel,1,18,0.0555555555555556,0.944444444444444,5.0,1
319,4869,YK Pathan,R Vinay Kumar,3,38,0.0789473684210526,0.921052631578947,6.0,1
320,4825,YK Pathan,A Mishra,1,56,0.0178571428571429,0.982142857142857,1.0,1
321,4882,YK Pathan,YS Chahal,1,8,0.125,0.875,3.0,1
322,4840,YK Pathan,DJ Bravo,1,26,0.0384615384615385,0.961538461538462,1.0,1
323,4856,YK Pathan,MC Henriques,2,18,0.111111111111111,0.888888888888889,2.0,1
324,4852,YK Pathan,L Balaji,1,28,0.0357142857142857,0.964285714285714,5.0,1
325,4874,YK Pathan,SB Jakati,2,30,0.0666666666666667,0.933333333333333,3.0,1
326,4829,YK Pathan,Azhar Mahmood,1,4,0.25,0.75,2.0,1
327,4878,YK Pathan,Umar Gul,1,16,0.0625,0.9375,0.0,1
328,4881,YK Pathan,WD Parnell,1,24,0.0416666666666667,0.958333333333333,2.0,1
329,4880,YK Pathan,VR Aaron,2,25,0.08,0.92,2.0,1
330,4864,YK Pathan,PP Ojha,3,49,0.0612244897959184,0.938775510204082,5.0,1
331,4837,YK Pathan,CRD Fernando,1,1,1,0,4.0,1
332,4860,YK Pathan,MM Sharma,1,24,0.0416666666666667,0.958333333333333,5.0,1
333,4877,YK Pathan,SR Watson,1,23,0.0434782608695652,0.956521739130435,6.0,1
334,4841,YK Pathan,DS Kulkarni,1,21,0.0476190476190476,0.952380952380952,5.0,1
335,4871,YK Pathan,RP Singh,1,30,0.0333333333333333,0.966666666666667,5.0,1
