"MP Stoinis","Z Khan","6"
"KK Nair","Anureet Singh","6"
"RG Sharma","SM Boland","13"
"SA Yadav","YS Chahal","19"
"CL White","WD Parnell","3"
"RA Jadeja","RG Sharma","12"
"IR Jaggi","Harbhajan Singh","1"
"R Vinay Kumar","M Ashwin","2"
"MJ McClenaghan","YS Chahal","4"
"MA Agarwal","KK Cooper","5"
"R Dravid","DL Vettori","42"
"SPD Smith","VR Aaron","7"
"Shakib Al Hasan","P Negi","1"
"UBT Chand","TG Southee","8"
"R Ashwin","TG Southee","5"
"NV Ojha","SJ Srivastava","15"
"MS Dhoni","DL Vettori","28"
"SS Iyer","SP Narine","14"
"N Rana","SP Narine","4"
"MC Henriques","J Suchith","3"
"WP Saha","Mohammed Shami","12"
"AC Gilchrist","M Morkel","38"
"AR Patel","Rashid Khan","2"
"S Rana","DW Steyn","4"
"MK Tiwary","MS Gony","13"
"SM Katich","Joginder Sharma","5"
"Yuvraj Singh","WPUJC Vaas","6"
"SB Bangar","SK Warne","3"
"SR Tendulkar","S Tyagi","7"
"CH Morris","NLTC Perera","5"
"JH Kallis","Shoaib Malik","3"
"SA Asnodkar","M Ntini","17"
"SW Tait","Shakib Al Hasan","1"
"AD Russell","R Vinay Kumar","10"
"BB McCullum","TG Southee","9"
"AJ Finch","B Kumar","13"
"KD Karthik","Shivam Sharma","12"
"S Badrinath","AJ Finch","4"
"CA Lynn","A Choudhary","6"
"S Badree","AR Patel","1"
"DJ Hussey","VY Mahesh","5"
"CJ Ferguson","A Chandila","11"
"B Chipli","JD Unadkat","5"
"Z Khan","P Negi","2"
"CL White","RV Gomez","4"
"BB McCullum","MS Gony","7"
"R Dravid","Sohail Tanvir","2"
"MK Tiwary","M Morkel","20"
"RG Sharma","Kuldeep Yadav","16"
"SS Tiwary","TL Suman","10"
"JC Buttler","S Aravind","3"
"V Kohli","Harbhajan Singh","59"
"HH Gibbs","SB Jakati","3"
"DR Smith","B Kumar","45"
"KD Karthik","SB Jakati","16"
"MA Agarwal","P Kumar","10"
"S Badrinath","SL Malinga","37"
"Yuvraj Singh","S Randiv","15"
"PA Patel","Basil Thampi","2"
"N Rana","CR Woakes","6"
"RV Uthappa","DR Smith","7"
"GJ Bailey","KA Pollard","8"
"KS Williamson","CR Woakes","8"
"SK Raina","V Sehwag","3"
"MG Johnson","STR Binny","1"
"S Nadeem","Karanveer Singh","1"
"RV Uthappa","Sandeep Sharma","38"
"JA Morkel","RR Powar","1"
"EJG Morgan","M Muralitharan","7"
"M Vijay","TL Suman","5"
"VS Yeligati","VRV Singh","2"
"BB McCullum","Bipul Sharma","16"
"SV Samson","AR Patel","24"
"DE Bollinger","A Nehra","2"
"KC Sangakkara","S Kaul","6"
"AB de Villiers","AB Agarkar","5"
"DJ Bravo","RE van der Merwe","18"
"KC Sangakkara","HV Patel","5"
"CH Morris","JJ Bumrah","8"
"J Syed Mohammad","DE Bollinger","2"
"RR Pant","SL Malinga","1"
"TL Suman","BJ Hodge","6"
"S Badrinath","RA Jadeja","3"
"BJ Rohrer","YK Pathan","3"
"M Rawat","VRV Singh","10"
"YK Pathan","BW Hilfenhaus","6"
"SE Marsh","RJ Harris","1"
"SR Watson","RR Raje","7"
"AD Mascarenhas","BAW Mendis","7"
"DR Smith","M Morkel","2"
"Bipul Sharma","AA Chavan","3"
"DA Warner","SB Wagh","6"
"B Chipli","RP Singh","12"
"RT Ponting","AA Chavan","3"
"DJ Bravo","Harmeet Singh","3"
"S Badrinath","NLTC Perera","5"
"SR Watson","DJG Sammy","6"
"DA Warner","RP Singh","31"
"AM Rahane","MM Patel","7"
"MC Henriques","CR Woakes","3"
"SN Khan","AR Patel","4"
"DJ Hussey","JD Unadkat","4"
"DH Yagnik","SMSM Senanayake","2"
"PR Shah","AM Salvi","6"
"HH Pandya","Mohammad Nabi","5"
"AN Ahmed","Z Khan","6"
"IK Pathan","I Sharma","25"
"VY Mahesh","A Nehra","3"
"DJ Hussey","AM Salvi","2"
"B Akhil","Joginder Sharma","2"
"RG Sharma","VY Mahesh","14"
"MM Sharma","A Zampa","6"
"BJ Rohrer","P Kumar","3"
"SA Yadav","RA Jadeja","22"
"LRPL Taylor","A Ashish Reddy","5"
"Mohammad Hafeez","P Amarnath","11"
"M Manhas","AN Ahmed","1"
"PA Patel","Harbhajan Singh","25"
"R Vinay Kumar","DS Kulkarni","10"
"LMP Simmons","B Kumar","28"
"KD Karthik","Mohammed Shami","18"
"F Behardien","YS Chahal","1"
"G Gambhir","VR Aaron","40"
"S Badree","Imran Tahir","2"
"M Vijay","JA Morkel","10"
"MS Bisla","SB Jakati","16"
"RJ Harris","SK Warne","2"
"J Theron","P Awana","3"
"AUK Pathan","JA Morkel","4"
"WP Saha","Kuldeep Yadav","10"
"ML Hayden","DS Kulkarni","14"
"Mohammad Ashraful","DP Nannes","4"
"Gurkeerat Singh","S Sreesanth","6"
"G Gambhir","A Mishra","43"
"WP Saha","SR Watson","9"
"VR Aaron","Sandeep Sharma","2"
"A Ashish Reddy","DJ Bravo","13"
"Shakib Al Hasan","Mustafizur Rahman","6"
"Z Khan","HH Pandya","5"
"R Dhawan","NLTC Perera","4"
"RS Bopara","P Kumar","33"
"KD Karthik","KP Appanna","6"
"IK Pathan","MM Patel","8"
"B Chipli","WD Parnell","11"
"RV Uthappa","SR Tendulkar","9"
"P Kumar","PP Chawla","2"
"SR Watson","KH Pandya","15"
"PA Patel","A Nehra","37"
