id,player_name,batting_average,strike_rate
446,T Thushara,6,66.67
447,TA Boult,5,50
448,TD Paine,5,38.46
449,TG Southee,13.25,130.86
450,TK Curran,7.67,82.14
451,TL Suman,21.13,117.57
452,TM Dilshan,26.81,114.5
453,TM Head,29.29,138.51
454,TM Srivastava,8,72.73
455,TP Sudhindra,,
456,TR Birt,15,129.31
457,TS Mills,2.67,72.73
458,U Kaul,,0
459,UA Birla,7,50
460,UBT Chand,15,100
461,UT Khawaja,21.17,127
462,UT Yadav,8.82,96.04
463,Umar Gul,13,205.26
464,V Kohli,38.36,130.76
465,V Pratap Singh,0,0
466,V Sehwag,27.56,155.44
467,V Shankar,52.17,140.36
468,VH Zol,14.5,111.54
469,VR Aaron,11.5,83.64
470,VRV Singh,2,133.33
471,VS Malik,7,100
472,VS Yeligati,2,100
473,VVS Laxman,15.67,105.62
474,VY Mahesh,7.5,55.56
475,Vishnu Vinod,6.33,73.08
476,W Jaffer,16.25,107.44
477,WA Mota,9.33,74.67
478,WD Parnell,7,84
479,WP Saha,24.33,129.85
480,WPUJC Vaas,10.13,110.96
481,Washington Sundar,18.5,148
482,X Thalaivan Sargunam,10,58.82
483,Y Gnaneswara Rao,19,111.76
484,Y Nagar,20.36,110.04
485,Y Venugopal Rao,22.39,117.82
486,YA Abdulla,,0
487,YK Pathan,29.57,144.08
488,YS Chahal,5,46.88
489,YV Takawale,24,107.87
490,Yashpal Singh,11.75,71.21
491,Younis Khan,3,42.86
492,Yuvraj Singh,24.79,129.68
493,Z Khan,8.36,82.98
